countryname,year,v2xps_party,PI_7,normalPS,avg_psi,avg_pi7,avg_nps
Armenia,2013,0.487209373658058,0.2647173035460854,0.5725086859172079,0.6811671282217567,0.31201947834463,0.5916786033333556
Armenia,2014,0.433408993313294,0.16803351550546577,0.5333261273961136,0.6867194825909015,0.2965003119027802,0.5853892278379426
Australia,1901,0.825409484080731,0.2766557777523412,0.5773469320567021,0.6449461178250824,0.15906499633496882,0.5296915001812809
Australia,1902,0.843015765903932,0.32459651226537095,0.5967756353964164,0.646046254830992,0.16394743331496575,0.5316701811635973
Australia,1903,0.843015765903932,0.32459651226537095,0.5967756353964164,0.6431238881050242,0.17103793573671708,0.534543713859353
Australia,1904,0.851297466413103,0.3544250367780701,0.6088640933582177,0.6690877860253971,0.18859074536244583,0.5416572538261651
Australia,1905,0.855775719281026,0.3700780197505676,0.6152077000142985,0.6716193280575834,0.19450154363631855,0.5440526936818636
Australia,1906,0.855775719281026,0.3700780197505676,0.6152077000142985,0.6716193280575834,0.19450154363631855,0.5440526936818636
Australia,1907,0.855775719281026,0.3700780197505676,0.6152077000142985,0.6716193280575834,0.19450154363631855,0.5440526936818636
Australia,1908,0.855775719281026,0.3700780197505676,0.6152077000142985,0.6658126350963673,0.23153780037746952,0.5590621934808655
Australia,1909,0.898656524139623,0.49814316307656614,0.6671080245110496,0.6683350353821671,0.23907104410252825,0.5621151537453802
Australia,1910,0.924973927979879,0.5764929355976512,0.6988604476332391,0.6567469222101324,0.21430863823746002,0.5520798165229341
Australia,1911,0.93098582909024,0.6069767806013262,0.7112144840752396,0.6588068539547138,0.21916941029638198,0.5540497174703028
Australia,1912,0.93098582909024,0.6069767806013262,0.7112144840752396,0.698213541952544,0.2734215030820603,0.5760361936267149
Australia,1913,0.93098582909024,0.6069767806013262,0.7112144840752396,0.6757714250659469,0.25586789022425027,0.568922328138027
Australia,1914,0.93098582909024,0.6069767806013262,0.7112144840752396,0.6633561389517595,0.24200958790234522,0.5633060427944807
Australia,1915,0.93098582909024,0.6069767806013262,0.7112144840752396,0.6416613841004983,0.2528744852505476,0.5677092057734981
Australia,1916,0.93098582909024,0.6069767806013262,0.7112144840752396,0.6441765672180985,0.251066700035598,0.566976573639261
Australia,1917,0.93098582909024,0.6069767806013262,0.7112144840752396,0.6592145968257864,0.28085085792623654,0.5790470513605224
Australia,1918,0.93098582909024,0.6069767806013262,0.7112144840752396,0.6074719342371634,0.31737362043965833,0.5938484499045363
Australia,1919,0.922090669284093,0.5606535667382886,0.6924413052946247,0.6810271196198441,0.35115794384668786,0.6075400548345724
Australia,1920,0.924667198331391,0.5722064545411245,0.697123286747731,0.6732036597228918,0.3178325177195961,0.5940344249256927
Australia,1921,0.924667198331391,0.5722064545411245,0.697123286747731,0.6991376515025371,0.32156680774633056,0.5955478020954597
Australia,1922,0.924667198331391,0.5722064545411245,0.697123286747731,0.6924643929185643,0.3230988409483717,0.5961686815811705
Australia,1923,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7213492599051767,0.3461407472131304,0.6055067604768501
Australia,1924,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7370168156009516,0.35195971788734287,0.6078649858173703
Australia,1925,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7237614694979274,0.34678445451575657,0.6057676325378932
Australia,1926,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7164727453666783,0.357030224107731,0.6099198846865422
Australia,1927,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7328455545436099,0.36491455551401286,0.6131151285116657
Australia,1928,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7388773694865346,0.3600117833056777,0.6111282063723721
Australia,1929,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7404919943561745,0.3640185909009757,0.6127520253834722
Australia,1930,0.924667198331391,0.5412487692372676,0.6845772194009865,0.763624317526532,0.39605664150329417,0.6257359270082173
Australia,1931,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7543992109969657,0.38025275963652083,0.6193311663068146
Australia,1932,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7667438996191833,0.40071325194665464,0.627623088391781
Australia,1933,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7616148293560722,0.3948260782422888,0.6252372227480161
Australia,1934,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7842881920239138,0.43725547963478906,0.6424323754904612
Australia,1935,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7572994988304266,0.40823481949398527,0.6306713167097471
Australia,1936,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7835598750880023,0.43129980608292157,0.6400187492537591
Australia,1937,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7753038017745705,0.42868844687790814,0.6389604566801681
Australia,1938,0.924667198331391,0.5412487692372676,0.6845772194009865,0.7735916926457385,0.427126855067844,0.6383275981242105
Australia,1939,0.924667198331391,0.5412487692372676,0.6845772194009865,0.770653398725942,0.4202431427441454,0.6355378702243025
Australia,1940,0.922520090791976,0.5317785839695001,0.6807392844588428,0.7250431612433944,0.3226432632667347,0.595984051877128
Australia,1941,0.922520090791976,0.5317785839695001,0.6807392844588428,0.7721093090088857,0.37504762877906533,0.6172217087797004
Australia,1942,0.922520090791976,0.5317785839695001,0.6807392844588428,0.7721093090088857,0.37504762877906533,0.6172217087797004
Australia,1943,0.922520090791976,0.5317785839695001,0.6807392844588428,0.7857237797272152,0.3792170665520617,0.6189114361150821
Australia,1944,0.922520090791976,0.5317785839695001,0.6807392844588428,0.7026371081528742,0.3363869682879642,0.6015538949418695
Australia,1945,0.938101956935157,0.6246207038120879,0.7183649491920688,0.6871304241137515,0.4882519521870716,0.6630994626065525
Australia,1946,0.956321698055334,0.7493958819959452,0.7689319658579338,0.7647926271630339,0.5034752130288883,0.6692689179092943
Australia,1947,0.956321698055334,0.7493958819959452,0.7689319658579338,0.7987902582663641,0.5083103320529153,0.6712284225786377
Australia,1948,0.956321698055334,0.7493958819959452,0.7689319658579338,0.7723475269638082,0.522146908741816,0.6768359032828141
Australia,1949,0.956321698055334,0.7493958819959452,0.7689319658579338,0.7821890856827364,0.5446516872300503,0.6859563030725807
Australia,1950,0.956321698055334,0.7493958819959452,0.7689319658579338,0.7688062293618543,0.5237148530201196,0.6774713362720204
Australia,1951,0.956321698055334,0.7493958819959452,0.7689319658579338,0.7687744987085624,0.5214693290550529,0.6765613039289065
Australia,1952,0.956321698055334,0.7493958819959452,0.7689319658579338,0.786005608205315,0.5008321967241746,0.6681977958201583
